distribution,branch,q,density,acceptance,effective_density
accepted_beta_recoil,case_I_forward,0.455,0.4786949135883281,0.020593999015442538,0.022195643302612773
accepted_beta_recoil,case_I_forward,0.4575,0.4788231068839453,0.02097969948492573,0.02261739587524167
accepted_beta_recoil,case_I_forward,0.46,0.47895080017468955,0.021371673780233053,0.02304611241181631
accepted_beta_recoil,case_I_forward,0.4625,0.4790779993680184,0.021770003951548336,0.02348188579143793
accepted_beta_recoil,case_I_forward,0.465,0.4792047102798971,0.022174772724855216,0.023924809690550303
accepted_beta_recoil,case_I_forward,0.4675,0.47933093863676157,0.0225860634996895,0.024374978581094133
accepted_beta_recoil,case_I_forward,0.47000000000000003,0.479456690077429,0.023003960346699173,0.02483248772844883
accepted_beta_recoil,case_I_forward,0.47250000000000003,0.47958197015495907,0.023428548005007908,0.025297433189157153
accepted_beta_recoil,case_I_forward,0.47500000000000003,0.47970678433846564,0.023859911879380268,0.025769911808430235
accepted_beta_recoil,case_I_forward,0.47750000000000004,0.47983113801488164,0.024298138037185068,0.02625002121742911
accepted_beta_recoil,case_I_forward,0.48,0.47995503649067967,0.02474331320515428,0.026737859830319573
accepted_beta_recoil,case_I_forward,0.4825,0.4800784849935462,0.025195524765934382,0.02723352684109666
accepted_beta_recoil,case_I_forward,0.485,0.4802014886740152,0.025654860754427255,0.02773712222017551
accepted_beta_recoil,case_I_forward,0.4875,0.480324052607058,0.026121409853918257,0.02824874671074555
accepted_beta_recoil,case_I_forward,0.49,0.4804461817936354,0.026595261391987587,0.02876850182488374
accepted_beta_recoil,case_I_forward,0.4925,0.4805678811622086,0.027076505336203528,0.029296489839424848
accepted_beta_recoil,case_I_forward,0.495,0.48068915557021374,0.027565232289593376,0.029832813791584117
accepted_beta_recoil,case_I_forward,0.4975,0.4808100098054989,0.028061533485889762,0.030377577474329353
accepted_beta_recoil,case_I_forward,0.5,0.48093044858772616,0.028565500784550377,0.030930885431500195
accepted_beta_recoil,case_I_forward,0.5025000000000001,0.48105047656973854,0.02907722666554676,0.03149284295266937
accepted_beta_recoil,case_I_forward,0.505,0.48117009833889374,0.029596804223920758,0.03206355606774425
accepted_beta_recoil,case_I_forward,0.5075000000000001,0.4812893184183656,0.030124327164105468,0.03264313154130493
accepted_beta_recoil,case_I_forward,0.51,0.48140814126841364,0.030659889794007515,0.03323167686667509
accepted_beta_recoil,case_I_forward,0.5125,0.4815265712876218,0.031203587018849108,0.033829300259723576
accepted_beta_recoil,case_I_forward,0.515,0.481644612814108,0.03175551433476584,0.034436110652392195
accepted_beta_recoil,case_I_forward,0.5175,0.48176227012670403,0.03231576782215888,0.03505221768594776
accepted_beta_recoil,case_I_forward,0.52,0.4818795474461085,0.03288444413879836,0.03567773170395469
accepted_beta_recoil,case_I_forward,0.5225,0.48199644893601146,0.03346164051267512,0.03631276374496477
accepted_beta_recoil,case_I_forward,0.525,0.482112978704193,0.03404745473459933,0.036957425534922136
