sample_id,linear_rmse,published_bound_rmse,scaled_loss_rmse,linear_beats_bound,linear_beats_scaled_loss,linear_intercept,linear_slope,loss_momentum_pearson_r,all_points_above_bound,monotone,best_model
170,0.005028415360363002,0.07235283425339233,0.024915076040626802,True,True,0.046381016108260974,0.6854979799384077,0.9997139469961451,True,True,linear_bandwidth
171,0.008564002640806057,0.06894500688259327,0.022674573749647927,True,True,0.0397633192802018,0.6901921075746927,0.9991941703119753,True,True,linear_bandwidth
172,0.008325910282484673,0.07032231206052782,0.02609091392806988,True,True,0.04681175424753593,0.6809216604413162,0.9991957553727575,True,True,linear_bandwidth
173,0.008190745874858699,0.07146519880987706,0.027707951410188093,True,True,0.04940587924231067,0.6779824815485707,0.9992555425304506,True,True,linear_bandwidth
174,0.008345856127276176,0.06611868657635844,0.020969411430857576,True,True,0.03679949187271556,0.6904991379876307,0.9992106275952949,True,True,linear_bandwidth
175,0.003795297122422531,0.0644305322973211,0.018181065524707794,True,True,0.03377020044835723,0.6934120196549256,0.9998409893118266,True,True,linear_bandwidth
176,0.0073313626257010675,0.07040133896060422,0.024211099117807316,True,True,0.043659859167986696,0.6868839337392285,0.999389746585928,True,True,linear_bandwidth
177,0.0070818337728819234,0.07177808436858049,0.028041248213293315,True,True,0.05075382014370295,0.6766152140621943,0.9994299428107466,True,True,linear_bandwidth
178,0.004322745506909113,0.06844630298281917,0.02126085542618747,True,True,0.03964569555952601,0.6905716141301628,0.9997891967529293,True,True,linear_bandwidth
179,0.004893622083769344,0.07425122168565827,0.02603741997050625,True,True,0.04846559183334205,0.686152750198001,0.9997216056258043,True,True,linear_bandwidth
180,0.00570276893725267,0.06967228387215242,0.018034055548171408,True,True,0.03243971975439975,0.7055234973775503,0.9996470454435702,True,True,linear_bandwidth
181,0.004910027334046535,0.07421388247939383,0.02297452252362645,True,True,0.04215062386686024,0.6970561762607899,0.9997375465884326,True,True,linear_bandwidth
182,0.008496942458986393,0.06469882583332709,0.020977354615457636,True,True,0.03624724667754772,0.689544107380017,0.9991816191627583,True,True,linear_bandwidth
183,0.007879813553050759,0.06809749805651658,0.020050043271662238,True,True,0.03506418994115913,0.6976053857020009,0.999310149117382,True,True,linear_bandwidth
184,0.003695020457510741,0.06516816853318579,0.026422555188326924,True,True,0.04988321761605936,0.665799165501963,0.9998370239553895,True,True,linear_bandwidth
185,0.005351874932991204,0.07144499515687326,0.020274721712736747,True,True,0.03731332924595455,0.7003177425583633,0.9996804122549341,True,True,linear_bandwidth
