component,sample_id,calculated_independent_kappa_rmse,refit_kappa_from_digitized_points_rmse,passes_absolute_rmse_lt_005,passes_refit_ratio_lte_15,passes_no_refit_stress_gate
d_axis_only,129,0.02276763018444231,0.01882044649180881,True,True,True
d_axis_only,130,0.024376110704352555,0.01949643611746834,True,True,True
d_axis_only,131,0.025429893697443043,0.01942478688784957,True,True,True
d_axis_only,132,0.024438938947756318,0.019437651092264616,True,True,True
d_axis_only,133,0.023869182393444717,0.018781751191046695,True,True,True
d_axis_only,134,0.02416930797704692,0.01864488136899419,True,True,True
d_axis_only,135,0.025064240247919065,0.019508738365940755,True,True,True
d_axis_only,136,0.02176957328660218,0.018198360952087246,True,True,True
d_axis_only,137,0.024258516523458753,0.019817586481054483,True,True,True
d_axis_only,138,0.02499973950387372,0.01936857692286121,True,True,True
d_axis_only,139,0.02435886486273021,0.02008654947931175,True,True,True
d_axis_only,140,0.02531511826670358,0.02118925823070177,True,True,True
d_axis_only,141,0.02600295692030795,0.021504091461925265,True,True,True
d_axis_only,142,0.024217315459067402,0.019518140793499065,True,True,True
d_axis_only,143,0.022711889549160726,0.019146076494281208,True,True,True
d_axis_only,144,0.022845270435083918,0.01892804979389074,True,True,True
d_axis_only,145,0.02546080733283872,0.02034877344824138,True,True,True
d_axis_only,146,0.024609428506005362,0.02021959599413321,True,True,True
d_axis_only,147,0.024007543707709668,0.018778521196144572,True,True,True
d_axis_only,148,0.024819474209994443,0.019493821083472928,True,True,True
d_axis_only,149,0.02422337802337426,0.02041268920656398,True,True,True
d_axis_only,150,0.025544665329123358,0.02117110527463981,True,True,True
d_axis_only,151,0.025253816334820364,0.020530195670035424,True,True,True
d_axis_only,152,0.023686907210207952,0.019427192582791235,True,True,True
d_axis_only,153,0.024490806551225097,0.02051796282536754,True,True,True
d_axis_only,154,0.023361208010986866,0.01815862368313911,True,True,True
d_axis_only,155,0.02240137161710337,0.0188411712862174,True,True,True
d_axis_only,156,0.024765978715628356,0.019720446600060275,True,True,True
d_axis_only,157,0.025153467523448166,0.020334729575279355,True,True,True
d_axis_only,158,0.02626947047822333,0.02062841494627427,True,True,True
d_axis_only,159,0.02448331674104589,0.019867930305462897,True,True,True
d_axis_only,160,0.02343894561778152,0.01947386736353793,True,True,True
d_axis_only,161,0.023137995156856956,0.01889555142506652,True,True,True
d_axis_only,162,0.02478249062748447,0.018145408032279983,True,True,True
d_axis_only,163,0.02378510613882292,0.01823821883315047,True,True,True
d_axis_only,164,0.022897825291636687,0.01934457405453826,True,True,True
d_axis_only,165,0.024578474820895167,0.019245335979451956,True,True,True
d_axis_only,166,0.022767900131440588,0.019366495651322525,True,True,True
d_axis_only,167,0.024716751597693994,0.019168248872912103,True,True,True
d_axis_only,168,0.02499798290263391,0.019944367584321783,True,True,True
d_axis_only,169,0.025803488742382107,0.020266215115898913,True,True,True
d_axis_only,170,0.02444327533210705,0.019115958910148268,True,True,True
d_axis_only,171,0.023691708578946483,0.01985841359330756,True,True,True
d_axis_only,172,0.02543214847776184,0.019838098372432975,True,True,True
