analysis_scope,distribution,branch,model,q,density,acceptance,effective_density,weight_zero_photon,weight_one_photon,weight_two_photon,velocity_sigma
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.28500000000000003,0.2839556221442666,1.0,0.2839556221442666,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.28750000000000003,0.28539754959431984,1.0,0.28539754959431984,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.29,0.2868337117605927,1.0,0.2868337117605927,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2925,0.2882641725661182,1.0,0.2882641725661182,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.295,0.28968899461539044,1.0,0.28968899461539044,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.2975,0.29110823923209156,1.0,0.29110823923209156,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3,0.29252196649542617,1.0,0.29252196649542617,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3025,0.29393023527512874,1.0,0.29393023527512874,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.305,0.2953331032652002,1.0,0.2953331032652002,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3075,0.29673062701643194,1.0,0.29673062701643194,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.31,0.2981228619677687,1.0,0.2981228619677687,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3125,0.2995098624765626,1.0,0.2995098624765626,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.315,0.3008916818477634,1.0,0.3008916818477634,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3175,0.3022683723620939,1.0,0.3022683723620939,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.32,0.3036399853032504,1.0,0.3036399853032504,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3225,0.30500657098417067,1.0,0.30500657098417067,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.325,0.30636817877240874,1.0,0.30636817877240874,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3275,0.30772485711465253,1.0,0.30772485711465253,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.33,0.30907665356042013,1.0,0.30907665356042013,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3325,0.3104236147849679,1.0,0.3104236147849679,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.335,0.31176578661144283,1.0,0.31176578661144283,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3375,0.313103214032309,1.0,0.313103214032309,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.34,0.3144359412300772,1.0,0.3144359412300772,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3425,0.3157640115973656,1.0,0.3157640115973656,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.34500000000000003,0.3170874677563174,1.0,0.3170874677563174,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.34750000000000003,0.318406351577401,1.0,0.318406351577401,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.35000000000000003,0.3197207041976156,1.0,0.3197207041976156,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3525,0.32103056603812663,1.0,0.32103056603812663,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.355,0.3223359768213519,1.0,0.3223359768213519,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3575,0.3236369755875181,1.0,0.3236369755875181,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.36,0.324933600710711,1.0,0.324933600710711,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3625,0.32622588991443435,1.0,0.32622588991443435,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.365,0.32751388028669803,1.0,0.32751388028669803,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3675,0.32879760829465293,1.0,0.32879760829465293,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.37,0.3300771097987874,1.0,0.3300771097987874,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3725,0.3313524200667034,1.0,0.3313524200667034,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.375,0.3326235737864855,1.0,0.3326235737864855,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3775,0.33389060507967944,1.0,0.33389060507967944,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.38,0.3351535475138919,1.0,0.3351535475138919,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3825,0.33641243411502675,1.0,0.33641243411502675,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.385,0.3376672973791698,1.0,0.3376672973791698,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3875,0.33891816928413415,1.0,0.33891816928413415,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.39,0.3401650813006783,1.0,0.3401650813006783,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3925,0.3414080644034083,1.0,0.3414080644034083,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.395,0.3426471490813746,1.0,0.3426471490813746,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.3975,0.34388236534837396,1.0,0.34388236534837396,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4,0.3451137427529665,1.0,0.3451137427529665,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4025,0.34634131038821786,1.0,0.34634131038821786,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.405,0.34756509690117465,1.0,0.34756509690117465,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.40750000000000003,0.3487851305020831,1.0,0.3487851305020831,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.41000000000000003,0.3500014389733592,1.0,0.3500014389733592,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.41250000000000003,0.3512140496783176,1.0,0.3512140496783176,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.41500000000000004,0.3524229895696681,1.0,0.3524229895696681,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4175,0.3536282851977873,1.0,0.3536282851977873,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.42,0.35482996271877176,1.0,0.35482996271877176,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4225,0.3560280479022806,1.0,0.3560280479022806,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.425,0.3572225661391735,1.0,0.3572225661391735,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4275,0.3584135424489517,1.0,0.3584135424489517,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.43,0.35960100148700597,1.0,0.35960100148700597,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4325,0.36078496755168105,1.0,0.36078496755168105,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.435,0.36196546459115836,1.0,0.36196546459115836,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4375,0.36314251621016586,1.0,0.36314251621016586,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.44,0.3643161456765182,1.0,0.3643161456765182,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4425,0.3654863759274936,1.0,0.3654863759274936,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.445,0.366653229576052,1.0,0.366653229576052,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4475,0.3678167289168989,1.0,0.3678167289168989,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.45,0.3689768959324003,1.0,0.3689768959324003,0.08,0.68,0.24,0.8
all_phase_points,raw_one_photon_density,raw,complex_mixture_with_smear,0.4525,0.3701337522983522,1.0,0.3701337522983522,0.08,0.68,0.24,0.8
