analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.4425,0.49456541332745063,1.0,0.49456541332745063
all_phase_points,raw_beta_recoil_complex,raw,0.445,0.49564193585468214,1.0,0.49564193585468214
all_phase_points,raw_beta_recoil_complex,raw,0.4475,0.49671244936885495,1.0,0.49671244936885495
all_phase_points,raw_beta_recoil_complex,raw,0.45,0.4977769907193352,1.0,0.4977769907193352
all_phase_points,raw_beta_recoil_complex,raw,0.4525,0.4988355962204172,1.0,0.4988355962204172
all_phase_points,raw_beta_recoil_complex,raw,0.455,0.4998883016613228,1.0,0.4998883016613228
all_phase_points,raw_beta_recoil_complex,raw,0.4575,0.5009351423159546,1.0,0.5009351423159546
all_phase_points,raw_beta_recoil_complex,raw,0.46,0.5019761529524096,1.0,0.5019761529524096
all_phase_points,raw_beta_recoil_complex,raw,0.4625,0.5030113678422606,1.0,0.5030113678422606
all_phase_points,raw_beta_recoil_complex,raw,0.465,0.5040408207696128,1.0,0.5040408207696128
all_phase_points,raw_beta_recoil_complex,raw,0.4675,0.5050645450399411,1.0,0.5050645450399411
all_phase_points,raw_beta_recoil_complex,raw,0.47000000000000003,0.5060825734887162,1.0,0.5060825734887162
all_phase_points,raw_beta_recoil_complex,raw,0.47250000000000003,0.5070949384898227,1.0,0.5070949384898227
all_phase_points,raw_beta_recoil_complex,raw,0.47500000000000003,0.5081016719637793,1.0,0.5081016719637793
all_phase_points,raw_beta_recoil_complex,raw,0.47750000000000004,0.5091028053857624,1.0,0.5091028053857624
all_phase_points,raw_beta_recoil_complex,raw,0.48,0.5100983697934423,1.0,0.5100983697934423
all_phase_points,raw_beta_recoil_complex,raw,0.4825,0.5110883957946352,1.0,0.5110883957946352
all_phase_points,raw_beta_recoil_complex,raw,0.485,0.5120729135747769,1.0,0.5120729135747769
all_phase_points,raw_beta_recoil_complex,raw,0.4875,0.5130519529042235,1.0,0.5130519529042235
all_phase_points,raw_beta_recoil_complex,raw,0.49,0.5140255431453831,1.0,0.5140255431453831
all_phase_points,raw_beta_recoil_complex,raw,0.4925,0.5149937132596838,1.0,0.5149937132596838
all_phase_points,raw_beta_recoil_complex,raw,0.495,0.5159564918143833,1.0,0.5159564918143833
all_phase_points,raw_beta_recoil_complex,raw,0.4975,0.5169139069892218,1.0,0.5169139069892218
all_phase_points,raw_beta_recoil_complex,raw,0.5,0.5178659865829259,1.0,0.5178659865829259
all_phase_points,raw_beta_recoil_complex,raw,0.5025000000000001,0.5188127580195657,1.0,0.5188127580195657
all_phase_points,raw_beta_recoil_complex,raw,0.505,0.5197542483547678,1.0,0.5197542483547678
all_phase_points,raw_beta_recoil_complex,raw,0.5075000000000001,0.5206904842817919,1.0,0.5206904842817919
all_phase_points,raw_beta_recoil_complex,raw,0.51,0.5216214921374706,1.0,0.5216214921374706
all_phase_points,raw_beta_recoil_complex,raw,0.5125,0.5225472979080178,1.0,0.5225472979080178
all_phase_points,raw_beta_recoil_complex,raw,0.515,0.5234679272347112,1.0,0.5234679272347112
all_phase_points,raw_beta_recoil_complex,raw,0.5175,0.5243834054194474,1.0,0.5243834054194474
all_phase_points,raw_beta_recoil_complex,raw,0.52,0.5252937574301773,1.0,0.5252937574301773
all_phase_points,raw_beta_recoil_complex,raw,0.5225,0.5261990079062236,1.0,0.5261990079062236
all_phase_points,raw_beta_recoil_complex,raw,0.525,0.5270991811634829,1.0,0.5270991811634829
all_phase_points,raw_beta_recoil_complex,raw,0.5275,0.5279943011995143,1.0,0.5279943011995143
all_phase_points,raw_beta_recoil_complex,raw,0.53,0.5288843916985223,1.0,0.5288843916985223
all_phase_points,raw_beta_recoil_complex,raw,0.5325,0.5297694760362296,1.0,0.5297694760362296
all_phase_points,raw_beta_recoil_complex,raw,0.535,0.5306495772846479,1.0,0.5306495772846479
all_phase_points,raw_beta_recoil_complex,raw,0.5375,0.5315247182167485,1.0,0.5315247182167485
all_phase_points,raw_beta_recoil_complex,raw,0.54,0.5323949213110327,1.0,0.5323949213110327
all_phase_points,raw_beta_recoil_complex,raw,0.5425,0.5332602087560072,1.0,0.5332602087560072
all_phase_points,raw_beta_recoil_complex,raw,0.545,0.5341206024545657,1.0,0.5341206024545657
